,selling_price,km_driven,engine,Automatic,Manual,Diesel,age
12082,8.25,67000.0,2982.0,0,1,1,12.0
12083,5.65,65554.0,1498.0,0,1,1,8.0
12084,3.41,75854.0,1248.0,0,1,1,8.0
12085,6.45,26000.0,1197.0,1,0,0,5.0
12086,4.25,62521.0,2354.0,1,0,0,12.0
12087,4.86,52000.0,1197.0,0,1,0,7.0
12088,5.5,35000.0,1199.0,0,1,0,3.0
12089,38.9,55000.0,2143.0,1,0,1,6.0
12090,1.84,58000.0,1248.0,0,1,1,9.0
12091,11.75,65000.0,1997.0,1,0,1,5.0
12092,5.8,19000.0,1198.0,0,1,0,3.0
12093,3.65,70000.0,1248.0,0,1,1,8.0
12094,4.99,29842.0,1197.0,0,1,0,6.0
12095,8.35,35000.0,1248.0,1,0,1,4.0
12096,2.99,47000.0,799.0,0,1,0,6.0
12097,3.5,147000.0,1120.0,0,1,1,7.0
12098,10.75,26000.0,1497.0,1,0,0,4.0
12099,4.85,60000.0,1991.0,1,0,1,13.0
12100,1.9,65000.0,936.0,0,1,1,10.0
12101,3.25,78000.0,1248.0,0,1,1,9.0
12102,5.0,50000.0,1396.0,0,1,1,8.0
12103,6.0,50000.0,2179.0,0,1,1,9.0
12104,1.5,60000.0,1061.0,0,1,0,12.0
12105,2.1,52000.0,998.0,0,1,0,11.0
12106,4.95,35000.0,1497.0,0,1,0,9.0
12107,36.5,8000.0,1991.0,1,0,0,4.0
12108,3.3,48000.0,1399.0,0,1,0,9.0
12109,7.6,62000.0,1582.0,0,1,1,5.0
12110,8.8,11687.0,1498.0,0,1,0,3.0
12111,3.4,70000.0,1396.0,0,1,1,8.0
12112,30.9,15500.0,2755.0,0,1,1,3.0
12113,9.4,43000.0,1591.0,0,1,0,4.0
12114,0.95,75000.0,995.0,0,1,0,13.0
12115,15.9,51000.0,2755.0,1,0,1,5.0
12116,3.35,33124.0,799.0,0,1,0,4.0
12117,12.9,1470.0,1591.0,0,1,0,3.0
12118,3.78,73956.0,1248.0,0,1,1,8.0
12119,2.65,64000.0,998.0,0,1,0,8.0
12120,2.75,15000.0,796.0,0,1,0,7.0
12121,2.35,73500.0,1086.0,0,1,0,10.0
12122,6.26,49000.0,1373.0,0,1,0,8.0
12123,4.65,32000.0,1197.0,0,1,0,5.0
12124,7.25,35000.0,1497.0,0,1,0,5.0
12125,2.9,80849.0,1396.0,0,1,1,9.0
12126,6.75,24000.0,1197.0,0,1,0,5.0
12127,4.8,30000.0,1199.0,1,0,0,5.0
12128,28.99,46000.0,2143.0,1,0,1,7.0
12129,6.1,71678.0,1498.0,0,1,1,7.0
12130,4.65,65000.0,1197.0,0,1,0,6.0
12131,6.85,60000.0,1248.0,0,1,1,6.0
12132,3.85,30500.0,1197.0,0,1,0,9.0
12133,3.9,47000.0,998.0,1,0,0,5.0
12134,4.0,76500.0,1498.0,0,1,1,8.0
